Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.91,0.8,0.83,0.82,0.87,0.85,0.83,0.87,0.83,0.82,0.85,0.85,0.88,0.87,0.92,0.81,0.74,0.9,0.8,0.79,0.86,0.88,0.82,0.85,0.9,0.91,0.83,0.87,0.82,0.86
Adiac,0.8056265984654731,0.8005115089514067,0.8081841432225064,0.8235294117647058,0.782608695652174,0.8081841432225064,0.8056265984654731,0.7800511508951407,0.7851662404092071,0.8132992327365729,0.8235294117647058,0.7877237851662404,0.7647058823529411,0.7877237851662404,0.7953964194373402,0.8107416879795396,0.8209718670076727,0.7774936061381074,0.7851662404092071,0.7928388746803069,0.7877237851662404,0.7902813299232737,0.7698209718670077,0.80306905370844,0.7774936061381074,0.782608695652174,0.8081841432225064,0.7851662404092071,0.7902813299232737,0.7800511508951407
ArrowHead,0.8685714285714285,0.8285714285714286,0.8628571428571429,0.9257142857142857,0.9428571428571428,0.9314285714285714,0.8971428571428571,0.9085714285714286,0.96,0.8742857142857143,0.92,0.9314285714285714,0.9314285714285714,0.9257142857142857,0.8971428571428571,0.8628571428571429,0.84,0.8114285714285714,0.9028571428571428,0.9314285714285714,0.9428571428571428,0.8914285714285715,0.9371428571428572,0.84,0.9142857142857143,0.8628571428571429,0.9257142857142857,0.9142857142857143,0.8628571428571429,0.9314285714285714
BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.8333333333333334,0.6333333333333333,0.7,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.7,0.6666666666666666,0.7333333333333333,0.8,0.6333333333333333,0.8,0.5666666666666667,0.7333333333333333,0.5666666666666667,0.6333333333333333,0.7,0.8333333333333334,0.7333333333333333,0.8333333333333334,0.7,0.8666666666666667,0.7666666666666667,0.5666666666666667,0.6666666666666666,0.7333333333333333,0.7
BeetleFly,0.95,1.0,0.95,0.95,1.0,0.85,0.9,0.9,1.0,0.95,0.85,1.0,0.8,1.0,0.95,0.95,0.85,0.75,0.9,1.0,0.95,0.9,0.95,0.8,0.85,0.9,0.95,1.0,0.95,0.95
BirdChicken,0.9,1.0,0.9,1.0,0.9,0.9,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.95,0.95,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.95,0.95,1.0,1.0,0.85,1.0
CBF,1.0,1.0,0.9966666666666667,0.9977777777777778,0.9933333333333333,1.0,1.0,0.9933333333333333,0.9988888888888889,0.9988888888888889,1.0,0.9977777777777778,0.9988888888888889,0.9977777777777778,1.0,1.0,0.9988888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9877777777777778,1.0,1.0,0.9944444444444445,1.0,1.0,1.0
Car,0.9,0.9166666666666666,0.8833333333333333,0.9333333333333333,0.95,0.8833333333333333,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.9,0.95,0.9666666666666667,0.8,0.95,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8833333333333333,0.95,0.95,0.9666666666666667,0.8833333333333333,0.95,0.9333333333333333,0.9333333333333333,0.95,0.95,0.9166666666666666,0.9,0.9833333333333333
Chinatown,0.9825072886297376,0.9650145772594753,0.967930029154519,0.9737609329446064,0.967930029154519,0.9650145772594753,0.9737609329446064,0.967930029154519,0.9766763848396501,0.967930029154519,0.9620991253644315,0.967930029154519,0.9795918367346939,0.9737609329446064,0.9650145772594753,0.967930029154519,0.9708454810495627,0.9766763848396501,0.9620991253644315,0.9650145772594753,0.9620991253644315,0.9620991253644315,0.956268221574344,0.9650145772594753,0.9737609329446064,0.967930029154519,0.967930029154519,0.967930029154519,0.9737609329446064,0.9708454810495627
ChlorineConcentration,0.7588541666666667,0.76640625,0.78125,0.7768229166666667,0.7661458333333333,0.7505208333333333,0.7736979166666667,0.7544270833333333,0.7471354166666667,0.7614583333333333,0.7614583333333333,0.7677083333333333,0.7674479166666667,0.7411458333333333,0.7559895833333333,0.7692708333333333,0.7729166666666667,0.7716145833333333,0.7651041666666667,0.7583333333333333,0.7783854166666667,0.74375,0.7658854166666667,0.7888020833333333,0.77890625,0.7625,0.7575520833333333,0.7630208333333334,0.7481770833333333,0.7473958333333334
CinCECGTorso,1.0,1.0,1.0,0.9963768115942029,0.9826086956521739,0.9992753623188406,0.9840579710144928,0.9797101449275363,0.9927536231884058,1.0,0.9992753623188406,0.9963768115942029,0.9920289855072464,0.9985507246376811,0.9920289855072464,0.9369565217391305,0.9963768115942029,0.994927536231884,0.9992753623188406,0.9985507246376811,0.9963768115942029,0.9876811594202899,0.9992753623188406,1.0,0.9963768115942029,0.9891304347826086,0.9934782608695653,0.994927536231884,0.9978260869565218,0.9963768115942029
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.76,0.856,0.864,0.868,0.872,0.876,0.864,0.832,0.872,0.86,0.876,0.88,0.864,0.872,0.844,0.88,0.836,0.828,0.888,0.868,0.868,0.888,0.86,0.864,0.824,0.896,0.872,0.916,0.84,0.868
CricketX,0.8282051282051283,0.8435897435897436,0.841025641025641,0.8435897435897436,0.8435897435897436,0.8461538461538461,0.8461538461538461,0.8333333333333334,0.841025641025641,0.8461538461538461,0.8153846153846154,0.8487179487179487,0.8358974358974359,0.8641025641025641,0.8615384615384616,0.8282051282051283,0.8538461538461538,0.8666666666666667,0.8564102564102564,0.8512820512820513,0.8153846153846154,0.8435897435897436,0.8205128205128205,0.7948717948717948,0.8333333333333334,0.8384615384615385,0.8461538461538461,0.8384615384615385,0.8461538461538461,0.8615384615384616
CricketY,0.8461538461538461,0.8461538461538461,0.8307692307692308,0.8615384615384616,0.8358974358974359,0.8153846153846154,0.8512820512820513,0.8307692307692308,0.8102564102564103,0.8589743589743589,0.8435897435897436,0.8589743589743589,0.8282051282051283,0.841025641025641,0.8461538461538461,0.8358974358974359,0.8307692307692308,0.8256410256410256,0.8153846153846154,0.8333333333333334,0.8461538461538461,0.8384615384615385,0.8487179487179487,0.8666666666666667,0.8717948717948718,0.8692307692307693,0.8384615384615385,0.8666666666666667,0.8487179487179487,0.8743589743589744
CricketZ,0.8589743589743589,0.8794871794871795,0.8846153846153846,0.8589743589743589,0.8615384615384616,0.8743589743589744,0.8897435897435897,0.8743589743589744,0.8743589743589744,0.8487179487179487,0.8871794871794871,0.8615384615384616,0.8615384615384616,0.8692307692307693,0.8538461538461538,0.8794871794871795,0.8615384615384616,0.8461538461538461,0.8846153846153846,0.8538461538461538,0.8538461538461538,0.8717948717948718,0.8743589743589744,0.882051282051282,0.8358974358974359,0.8589743589743589,0.8666666666666667,0.8743589743589744,0.8743589743589744,0.8487179487179487
Crop,0.7607738095238096,0.7630357142857143,0.7618452380952381,0.76,0.763095238095238,0.7586309523809524,0.7664285714285715,0.7613095238095238,0.7627380952380952,0.7644047619047619,0.7601190476190476,0.7656547619047619,0.7611309523809524,0.7658333333333334,0.7576190476190476,0.7593452380952381,0.7597619047619047,0.7600595238095238,0.7618452380952381,0.7605952380952381,0.7569047619047619,0.7618452380952381,0.7660119047619047,0.7636904761904761,0.7606547619047619,0.7588095238095238,0.76375,0.7660714285714286,0.7619642857142858,0.7650595238095238
DiatomSizeReduction,0.9705882352941176,0.8954248366013072,0.8921568627450981,0.9836601307189542,0.9509803921568627,0.954248366013072,0.9019607843137255,0.9183006535947712,0.9281045751633987,0.8921568627450981,0.9084967320261438,0.9738562091503268,0.8986928104575164,0.9607843137254902,0.9640522875816994,0.9150326797385621,0.8986928104575164,0.9607843137254902,0.8954248366013072,0.9477124183006536,0.9869281045751634,0.9019607843137255,0.9411764705882353,0.9673202614379085,0.9411764705882353,0.8986928104575164,0.9150326797385621,0.8856209150326797,0.9281045751633987,0.8954248366013072
DistalPhalanxOutlineAgeGroup,0.762589928057554,0.8129496402877698,0.8489208633093526,0.8129496402877698,0.8057553956834532,0.7913669064748201,0.8129496402877698,0.8201438848920863,0.8129496402877698,0.7913669064748201,0.7985611510791367,0.8201438848920863,0.8273381294964028,0.7841726618705036,0.8129496402877698,0.8201438848920863,0.8057553956834532,0.8489208633093526,0.7913669064748201,0.8201438848920863,0.8201438848920863,0.8345323741007195,0.8345323741007195,0.8201438848920863,0.8057553956834532,0.841726618705036,0.7913669064748201,0.8345323741007195,0.7841726618705036,0.8345323741007195
DistalPhalanxOutlineCorrect,0.7753623188405797,0.8297101449275363,0.8333333333333334,0.855072463768116,0.8188405797101449,0.8478260869565217,0.8115942028985508,0.8115942028985508,0.8442028985507246,0.8333333333333334,0.8442028985507246,0.8369565217391305,0.8260869565217391,0.8007246376811594,0.8260869565217391,0.8442028985507246,0.8405797101449275,0.8442028985507246,0.822463768115942,0.8514492753623188,0.7934782608695652,0.8188405797101449,0.8079710144927537,0.8152173913043478,0.8188405797101449,0.8442028985507246,0.8442028985507246,0.8695652173913043,0.8152173913043478,0.8188405797101449
DistalPhalanxTW,0.7194244604316546,0.6834532374100719,0.7122302158273381,0.697841726618705,0.6618705035971223,0.7410071942446043,0.7194244604316546,0.7338129496402878,0.7122302158273381,0.697841726618705,0.7194244604316546,0.7266187050359713,0.6906474820143885,0.6906474820143885,0.7338129496402878,0.7482014388489209,0.6690647482014388,0.697841726618705,0.7194244604316546,0.7194244604316546,0.7050359712230215,0.7050359712230215,0.7122302158273381,0.697841726618705,0.7050359712230215,0.7050359712230215,0.7266187050359713,0.7266187050359713,0.7122302158273381,0.6906474820143885
ECG200,0.86,0.87,0.87,0.94,0.91,0.91,0.9,0.93,0.91,0.88,0.9,0.89,0.91,0.87,0.93,0.95,0.89,0.96,0.88,0.89,0.87,0.87,0.88,0.87,0.9,0.86,0.85,0.9,0.93,0.91
ECG5000,0.9468888888888889,0.9471111111111111,0.9475555555555556,0.9491111111111111,0.9471111111111111,0.9488888888888889,0.9495555555555556,0.9504444444444444,0.9482222222222222,0.9497777777777778,0.9504444444444444,0.9491111111111111,0.9464444444444444,0.9457777777777778,0.9495555555555556,0.9511111111111111,0.9457777777777778,0.9504444444444444,0.9486666666666667,0.9506666666666667,0.9448888888888889,0.9473333333333334,0.9511111111111111,0.9442222222222222,0.9484444444444444,0.9535555555555556,0.9446666666666667,0.9504444444444444,0.9464444444444444,0.9495555555555556
ECGFiveDays,1.0,0.9965156794425087,1.0,1.0,1.0,1.0,1.0,1.0,0.9988385598141696,0.9442508710801394,1.0,1.0,1.0,1.0,0.9314750290360047,1.0,0.9988385598141696,1.0,1.0,0.9965156794425087,1.0,0.9849012775842044,1.0,1.0,1.0,0.9488966318234611,1.0,0.9535423925667829,1.0,1.0
EOGHorizontalSignal,0.6519337016574586,0.8425414364640884,0.8259668508287292,0.8259668508287292,0.8176795580110497,0.8259668508287292,0.8314917127071824,0.8259668508287292,0.8342541436464088,0.8149171270718232,0.8370165745856354,0.8232044198895028,0.8232044198895028,0.8259668508287292,0.8149171270718232,0.8480662983425414,0.8287292817679558,0.8176795580110497,0.8287292817679558,0.8066298342541437,0.8066298342541437,0.8259668508287292,0.8314917127071824,0.8011049723756906,0.8038674033149171,0.8453038674033149,0.8342541436464088,0.8176795580110497,0.8287292817679558,0.787292817679558
EOGVerticalSignal,0.5580110497237569,0.7928176795580111,0.787292817679558,0.7955801104972375,0.8093922651933702,0.7707182320441989,0.7734806629834254,0.7762430939226519,0.7955801104972375,0.7679558011049724,0.7762430939226519,0.7790055248618785,0.7817679558011049,0.7928176795580111,0.787292817679558,0.7817679558011049,0.7928176795580111,0.8093922651933702,0.7955801104972375,0.7707182320441989,0.8121546961325967,0.7928176795580111,0.7734806629834254,0.7762430939226519,0.7983425414364641,0.8204419889502762,0.7900552486187845,0.7955801104972375,0.7900552486187845,0.7845303867403315
Earthquakes,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209
ElectricDevices,0.7612501621060822,0.9062378420438335,0.9062378420438335,0.9015691868758916,0.9031254052652056,0.9110361820775515,0.9080534301646997,0.9079237452989236,0.9101283880171184,0.9068862663727143,0.9068862663727143,0.907405005835819,0.9032550901309817,0.9094799636882376,0.9088315393593568,0.9050706782518481,0.9085721696278044,0.9057191025807289,0.9018285566074439,0.90973933341979,0.9059784723122811,0.9088315393593568,0.9039035144598625,0.9029957203994294,0.9068862663727143,0.9093502788224614,0.9090909090909091,0.9052003631176242,0.906626896641162,0.9041628841914149
EthanolLevel,0.676,0.834,0.824,0.8,0.82,0.822,0.824,0.804,0.872,0.796,0.82,0.788,0.822,0.83,0.828,0.812,0.832,0.808,0.834,0.836,0.786,0.794,0.828,0.786,0.81,0.836,0.83,0.842,0.84,0.832
FaceAll,0.8822485207100592,0.9928994082840237,0.993491124260355,0.9893491124260355,0.9899408284023669,0.991715976331361,0.9905325443786982,0.9923076923076923,0.9923076923076923,0.991715976331361,0.9840236686390532,0.9899408284023669,0.991715976331361,0.9893491124260355,0.9928994082840237,0.9881656804733728,0.98698224852071,0.9928994082840237,0.9863905325443787,0.9905325443786982,0.9893491124260355,0.9881656804733728,0.9923076923076923,0.9923076923076923,0.9905325443786982,0.98698224852071,0.9905325443786982,0.9928994082840237,0.9928994082840237,0.9893491124260355
FaceFour,1.0,1.0,0.9886363636363636,1.0,0.9886363636363636,0.9318181818181818,1.0,1.0,0.9204545454545454,1.0,0.9659090909090909,0.9772727272727273,1.0,0.9772727272727273,0.9431818181818182,0.9659090909090909,0.9659090909090909,0.9772727272727273,0.9886363636363636,0.9772727272727273,0.9431818181818182,0.9886363636363636,0.9772727272727273,1.0,0.9318181818181818,1.0,0.9886363636363636,1.0,0.9886363636363636,0.9886363636363636
FacesUCR,0.9653658536585366,0.9726829268292683,0.9829268292682927,0.9746341463414634,0.9692682926829268,0.973170731707317,0.9785365853658536,0.9824390243902439,0.9653658536585366,0.9775609756097561,0.9790243902439024,0.9721951219512195,0.9697560975609756,0.968780487804878,0.9668292682926829,0.9760975609756097,0.9751219512195122,0.9770731707317073,0.9765853658536585,0.9765853658536585,0.9726829268292683,0.9712195121951219,0.975609756097561,0.9712195121951219,0.968780487804878,0.9814634146341463,0.9775609756097561,0.9726829268292683,0.9751219512195122,0.9809756097560975
FiftyWords,0.832967032967033,0.8241758241758241,0.8527472527472527,0.8197802197802198,0.8131868131868132,0.8197802197802198,0.8153846153846154,0.8021978021978022,0.8197802197802198,0.8307692307692308,0.810989010989011,0.8241758241758241,0.8373626373626374,0.8197802197802198,0.8285714285714286,0.8263736263736263,0.8153846153846154,0.8153846153846154,0.8131868131868132,0.8241758241758241,0.810989010989011,0.8263736263736263,0.810989010989011,0.8373626373626374,0.8307692307692308,0.8175824175824176,0.8219780219780219,0.8065934065934066,0.8219780219780219,0.8351648351648352
Fish,0.9942857142857143,0.9657142857142857,0.9828571428571429,0.9885714285714285,0.9714285714285714,0.9885714285714285,0.9885714285714285,0.9828571428571429,0.9771428571428571,0.9885714285714285,0.9828571428571429,0.9771428571428571,0.9885714285714285,0.9885714285714285,0.9942857142857143,0.9771428571428571,0.9771428571428571,0.96,0.9657142857142857,0.9885714285714285,0.9885714285714285,0.9885714285714285,0.9714285714285714,0.9828571428571429,0.9828571428571429,0.9771428571428571,0.9828571428571429,0.9942857142857143,0.9885714285714285,0.9771428571428571
