folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.8107416879795396,0.7877237851662404,0.7774936061381074,0.7672634271099744,0.8081841432225064,0.7902813299232737,0.782608695652174,0.7774936061381074,0.7851662404092071,0.8005115089514067,0.782608695652174,0.8184143222506394,0.7595907928388747,0.7851662404092071,0.8056265984654731,0.80306905370844,0.7851662404092071,0.7902813299232737,0.7877237851662404,0.8132992327365729,0.7953964194373402,0.7877237851662404,0.8209718670076727,0.8107416879795396,0.7774936061381074,0.80306905370844,0.7902813299232737,0.8158567774936062,0.8184143222506394,0.7953964194373402
ArrowHead,0.8742857142857143,0.8742857142857143,0.8914285714285715,0.9085714285714286,0.9314285714285714,0.9085714285714286,0.9085714285714286,0.8857142857142857,0.9028571428571428,0.92,0.8628571428571429,0.9028571428571428,0.7828571428571428,0.8914285714285715,0.9142857142857143,0.9314285714285714,0.8,0.8971428571428571,0.8742857142857143,0.8685714285714285,0.9542857142857143,0.8857142857142857,0.8457142857142858,0.88,0.9257142857142857,0.9142857142857143,0.9428571428571428,0.8685714285714285,0.9257142857142857,0.9085714285714286
Beef,0.8333333333333334,0.8333333333333334,0.7,0.7,0.9,0.6,0.8333333333333334,0.8,0.9,0.8,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.5333333333333333,0.9666666666666667,0.7666666666666667,0.7,0.8,0.5666666666666667,0.9,0.6333333333333333,0.8,0.8666666666666667,0.7333333333333333,0.7,0.6,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.7666666666666667
BeetleFly,0.95,0.9,0.85,0.95,0.9,0.9,1.0,0.95,0.85,0.9,1.0,1.0,0.8,0.8,0.8,0.95,0.9,0.9,1.0,0.9,0.9,1.0,0.9,0.95,0.85,1.0,0.9,0.8,0.85,1.0
BirdChicken,0.9,1.0,0.85,0.95,1.0,1.0,0.9,0.85,0.9,0.9,0.9,0.95,1.0,0.9,0.9,1.0,1.0,1.0,0.95,1.0,0.95,1.0,1.0,0.95,0.9,1.0,1.0,0.9,0.95,0.9
Car,0.9,0.9,0.9333333333333333,0.9333333333333333,0.85,0.9,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.9166666666666666,0.9,0.95,0.9166666666666666,0.9333333333333333,0.9166666666666666,0.8166666666666667,0.9333333333333333,0.9166666666666666,0.9,0.95,0.8833333333333333,0.9166666666666666,0.9666666666666667,0.8833333333333333,0.95,0.9,0.9333333333333333,0.9333333333333333,0.9,0.8833333333333333
CBF,1.0,1.0,0.9877777777777778,0.9988888888888889,1.0,0.99,0.9988888888888889,1.0,0.9977777777777778,1.0,0.9966666666666667,0.98,1.0,1.0,0.9977777777777778,1.0,0.9988888888888889,0.9988888888888889,0.9988888888888889,1.0,0.9677777777777777,0.9988888888888889,1.0,1.0,0.9988888888888889,0.9955555555555555,1.0,0.9955555555555555,1.0,0.9933333333333333
ChlorineConcentration,0.7622395833333333,0.78203125,0.7901041666666667,0.7692708333333333,0.7760416666666666,0.775,0.7729166666666667,0.7708333333333334,0.7473958333333334,0.7434895833333334,0.7794270833333333,0.74453125,0.7893229166666667,0.7783854166666667,0.7669270833333334,0.7640625,0.7380208333333333,0.7674479166666667,0.7520833333333333,0.75234375,0.7700520833333333,0.74765625,0.7765625,0.76015625,0.7598958333333333,0.7541666666666667,0.73984375,0.75703125,0.7611979166666667,0.7393229166666667
CinCECGTorso,1.0,0.994927536231884,0.9978260869565218,1.0,0.9956521739130435,0.9985507246376811,0.9985507246376811,0.9992753623188406,0.9978260869565218,0.9963768115942029,0.9934782608695653,0.994927536231884,0.9963768115942029,0.9898550724637681,0.9869565217391304,0.9985507246376811,0.9985507246376811,0.9905797101449275,0.9992753623188406,0.9992753623188406,1.0,0.9971014492753624,0.9963768115942029,0.9978260869565218,0.9992753623188406,0.9992753623188406,0.9992753623188406,1.0,0.9942028985507246,0.9992753623188406
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
