backend,series,ok,finite,total_seconds,mean_seconds,median_seconds,mean_smape,median_smape,mean_mase,median_mase,mean_mae,mean_rmse,cold_start_series_key,cold_start_status,cold_start_seconds,steady_series,steady_total_seconds,steady_mean_seconds,steady_median_seconds
aeon,652,652,652,3.0865341004682705,0.004733948006853176,0.0025912499986588955,16.563941890842,10.564762773888656,2.582940677954216,1.5281144520412093,26262.643444112462,30350.93609525859,M1:1,ok,0.26477750000776723,651,2.8217566004605033,0.0043344955460222784,0.002590399992186576
statsforecast,652,652,652,44.65802369918674,0.06849390137912077,0.01378340003429912,16.566234171013907,10.564763584582359,2.5832246277450355,1.5287506082986217,26263.53077256107,30351.03793798255,M1:1,ok,28.44995919999201,651,16.208064499194734,0.024897180490314492,0.013770300021860749
