series_key,backend,baseline,dataset,index,series,type,period,n,h,backend_status,baseline_status,max_abs_forecast_diff,mean_abs_forecast_diff,relative_forecast_diff,backend_elapsed_seconds,baseline_elapsed_seconds,elapsed_diff,time_ratio_backend_over_baseline,backend_smape,baseline_smape,smape_diff,backend_mase,baseline_mase,mase_diff,backend_mae,baseline_mae,mae_diff,backend_rmse,baseline_rmse,rmse_diff
M1:1,statsforecast,aeon,M1,1,YAF2,yearly,1,22,6,ok,ok,0.04754008527379483,0.021050882157093536,2.617518699243909e-08,28.44995919999201,0.26477750000776723,28.18518169998424,107.44855283835459,21.26309989000996,21.263102446109254,-2.5560992931161763e-06,7.009454187599081,7.009454876022781,-6.884237002680038e-07,214337.76041666666,214337.7814675488,-0.021050882147392258,276204.92250646336,276204.94650582754,-0.023999364173505455
M1:10,statsforecast,aeon,M1,10,YAF11,yearly,1,30,6,ok,ok,1.4621135022707676e-06,6.362886786348554e-07,1.1345180467141883e-08,0.0010771999950520694,0.0007894000154919922,0.0002877999795600772,1.3645806611502362,4.639630152190848,4.639630197973324,-4.578247647657463e-08,0.9735905615201863,0.9735905635383433,-2.0181569748700667e-09,2.604522612508139,2.604522617907057,-5.398917757304389e-09,3.0902309310355727,3.0902306295133504,3.01522222301287e-07
M1:11,statsforecast,aeon,M1,11,YAF12,yearly,1,21,6,ok,ok,0.0004906878493784461,0.0002543058344599558,2.4012848441881305e-08,0.0010772999958135188,0.0007881000055931509,0.0002891999902203679,1.3669584927901455,18.543964647001587,18.5439662454908,-1.5984892129949912e-06,5.503409556626259,5.503409995380019,-4.3875375954627316e-07,1895.3742513020836,1895.3744024088785,-0.00015110679487406742,2284.3705257911183,2284.370584261992,-5.847087368238135e-05
M1:12,statsforecast,aeon,M1,12,YAF13,yearly,1,28,6,ok,ok,0.27335662161931396,0.14646026076904187,5.562465725861135e-08,0.0011362999794073403,0.0007892000139690936,0.0003470999654382467,1.4398124167441282,5.358159813682994,5.358154259176271,5.5545067230156064e-06,2.3971155618789783,2.3971133118327246,2.2500462537600185e-06,156033.3125,156033.16603973924,0.1464602607593406,211480.65097520963,211480.50775426204,0.14322094758972526
M1:13,statsforecast,aeon,M1,13,YAF14,yearly,1,52,6,ok,ok,0.002097996177326422,0.0010500430992882077,1.759740420336052e-08,0.001599299954250455,0.0008123000152409077,0.0007869999390095472,1.9688537784603426,15.334715925668258,15.334714673610115,1.2520581424979582e-06,5.870478977329162,5.8704784902481695,4.870809924284458e-07,8691.762109375,8691.761388208613,0.0007211663869384211,10457.97360965993,10457.972827870493,0.0007817894365871325
M1:14,statsforecast,aeon,M1,14,YAF15,yearly,1,21,6,ok,ok,0.04217564617283642,0.018425387000509847,1.6934535367682368e-08,0.0009467999916523695,0.0007932999869808555,0.00015350000467151403,1.1934955340862983,31.345096683299857,31.345097116535243,-4.332353853442328e-07,5.525153493401271,5.525153607066248,-1.1366497698617195e-07,289303.1145833333,289303.1205349565,-0.005951623199507594,377432.00982027134,377432.02021505137,-0.010394780023489147
M1:15,statsforecast,aeon,M1,15,YAF16,yearly,1,12,6,ok,ok,0.00017339533997073886,9.797368682029628e-05,7.524037800261317e-08,0.0007396000437438488,0.0007722000009380281,-3.2599957194179296e-05,0.957783013267834,17.41774042014187,17.417747850550487,-7.430408615505257e-06,4.896703568129449,4.896705432035632,-1.8639061831748904e-06,257.3885457356771,257.3886437093639,-9.797368682029628e-05,306.02822834433147,306.0283284878682,-0.00010014353671294884
M1:16,statsforecast,aeon,M1,16,YAF17,yearly,1,21,6,ok,ok,3.505773626955033e-07,1.4793939258813302e-07,1.5812441607230347e-08,0.0010323000024072826,0.0008795000030659139,0.00015279999934136868,1.1737350753936462,3.4423615392959697,3.442361314012483,2.252834865323905e-07,1.7787094955844454,1.7787094036219524,9.196249295406744e-08,0.321092638142904,0.32109262154183477,1.6601069241506394e-08,0.37487870721315375,0.37487874587842634,-3.866527259477337e-08
M1:17,statsforecast,aeon,M1,17,YAM1,yearly,1,23,6,ok,ok,0.006629493786022067,0.003694376394075031,5.0165959287389105e-08,0.0009226000402122736,0.0007756000268273056,0.00014700001338496804,1.1895306966224473,23.704594729357577,23.70459678366437,-2.0543067940081983e-06,2.3627513346164406,2.362751513128707,-1.7851226630227757e-07,21371.73020833333,21371.731823025464,-0.0016146921334438957,26280.12388497234,26280.126934326683,-0.003049354341783328
M1:18,statsforecast,aeon,M1,18,YAM2,yearly,1,22,6,ok,ok,0.09704456967301667,0.05497385041477779,6.573732408508482e-08,0.0009663999662734568,0.0007767999777570367,0.00018959998851642013,1.2440782620306952,17.136291353024504,17.136285048462167,6.304562337078323e-06,2.8648008586307134,2.8647998881578953,9.704728181070266e-07,158673.27083333334,158673.2170815705,0.05375176283996552,182731.89251458252,182731.83060372097,0.06191086155013181
M1:182,statsforecast,aeon,M1,182,QRF1,quarterly,4,40,8,ok,ok,2.710245757597818e-06,9.323403191152657e-07,7.723811845170477e-07,0.010131999966688454,0.002590399992186576,0.007541599974501878,3.911365039086476,74.93863579911029,74.93864890363356,-1.3104523276297186e-05,0.7691469758559705,0.7691470381534982,-6.229752769204566e-08,1.715411408096552,1.7154115470373437,-1.3894079176068885e-07,2.1866389950421636,2.1866386804071705,3.146349931704151e-07
